CODE,DESCRIPTION
C8581,"OTH TYPES OF NON-HODG LYMPH, NODES OF HEAD, FACE, AND NECK"
C888,OTHER MALIGNANT IMMUNOPROLIFERATIVE DISEASES
C9102,"ACUTE LYMPHOBLASTIC LEUKEMIA, IN RELAPSE"
C9501,"ACUTE LEUKEMIA OF UNSPECIFIED CELL TYPE, IN REMISSION"
D013,CARCINOMA IN SITU OF ANUS AND ANAL CANAL
D0322,MELANOMA IN SITU OF LEFT EAR AND EXTERNAL AURICULAR CANAL
D0360,"MELANOMA IN SITU OF UNSP UPPER LIMB, INCLUDING SHOULDER"
D0371,"MELANOMA IN SITU OF RIGHT LOWER LIMB, INCLUDING HIP"
D0430,CARCINOMA IN SITU OF SKIN OF UNSPECIFIED PART OF FACE
D0439,CARCINOMA IN SITU OF SKIN OF OTHER PARTS OF FACE
D0919,CARCINOMA IN SITU OF OTHER URINARY ORGANS
D098,CARCINOMA IN SITU OF OTHER SPECIFIED SITES
D101,BENIGN NEOPLASM OF TONGUE
D126,"BENIGN NEOPLASM OF COLON, UNSPECIFIED"
D129,BENIGN NEOPLASM OF ANUS AND ANAL CANAL
D152,BENIGN NEOPLASM OF MEDIASTINUM
D1611,BENIGN NEOPLASM OF SHORT BONES OF RIGHT UPPER LIMB
D1622,BENIGN NEOPLASM OF LONG BONES OF LEFT LOWER LIMB
D1632,BENIGN NEOPLASM OF SHORT BONES OF LEFT LOWER LIMB
D197,BENIGN NEOPLASM OF MESOTHELIAL TISSUE OF OTHER SITES
D2212,"MELANOCYTIC NEVI OF LEFT EYELID, INCLUDING CANTHUS"
D249,BENIGN NEOPLASM OF UNSPECIFIED BREAST
D2922,BENIGN NEOPLASM OF LEFT TESTIS
D3000,BENIGN NEOPLASM OF UNSPECIFIED KIDNEY
D3190,BENIGN NEOPLASM OF UNSPECIFIED PART OF UNSPECIFIED EYE
D3612,"BEN NEOPLM OF PRPH NRV & AUTONM NRV SYS, UPR LMB, INC SHLDR"
D3615,BENIGN NEOPLM OF PRPH NERVES AND AUTONM NERVOUS SYS OF ABD
D3705,NEOPLASM OF UNCERTAIN BEHAVIOR OF PHARYNX
D385,NEOPLASM OF UNCERTAIN BEHAVIOR OF OTHER RESPIRATORY ORGANS
D3910,NEOPLASM OF UNCERTAIN BEHAVIOR OF UNSPECIFIED OVARY
D3912,NEOPLASM OF UNCERTAIN BEHAVIOR OF LEFT OVARY
D4011,NEOPLASM OF UNCERTAIN BEHAVIOR OF RIGHT TESTIS
D408,NEOPLASM OF UNCERTAIN BEHAVIOR OF OTH MALE GENITAL ORGANS
D484,NEOPLASM OF UNCERTAIN BEHAVIOR OF PERITONEUM
D490,NEOPLASM OF UNSPECIFIED BEHAVIOR OF DIGESTIVE SYSTEM
D513,OTHER DIETARY VITAMIN B12 DEFICIENCY ANEMIA
D529,"FOLATE DEFICIENCY ANEMIA, UNSPECIFIED"
D5740,SICKLE-CELL THALASSEMIA WITHOUT CRISIS
D640,HEREDITARY SIDEROBLASTIC ANEMIA
D649,"ANEMIA, UNSPECIFIED"
D6801,"VON WILLEBRAND DISEASE, TYPE 1"
D6809,OTHER VON WILLEBRAND DISEASE
D6852,PROTHROMBIN GENE MUTATION
D6861,ANTIPHOSPHOLIPID SYNDROME
D720,GENETIC ANOMALIES OF LEUKOCYTES
D824,HYPERIMMUNOGLOBULIN E [IGE] SYNDROME
D892,"HYPERGAMMAGLOBULINEMIA, UNSPECIFIED"
D8941,MONOCLONAL MAST CELL ACTIVATION SYNDROME
D8949,OTHER MAST CELL ACTIVATION DISORDER
E048,OTHER SPECIFIED NONTOXIC GOITER
E0530,THYROTXCOSIS FROM ECTOPIC THYROID TISSUE W/O THYROTXC CRISIS
E0789,OTHER SPECIFIED DISORDERS OF THYROID
E0837,"DIABETES WITH DIABETIC MACULAR EDEMA, RESOLVED FOL TREATMENT"
E0839,DIABETES DUE TO UNDRL CONDITION W OTH DIABETIC OPTH COMP
E0843,DIAB DUE TO UNDRL COND W DIABETIC AUTONM (POLY)NEUROPATHY
E0921,DRUG/CHEM DIABETES MELLITUS W DIABETIC NEPHROPATHY
E0969,DRUG/CHEM DIABETES MELLITUS W OTH COMPLICATION
E1061,TYPE 1 DIABETES MELLITUS WITH DIABETIC ARTHROPATHY
E1132,TYPE 2 DIABETES W MILD NONPROLIFERATIVE DIABETIC RETINOPATHY
E1143,TYPE 2 DIABETES W DIABETIC AUTONOMIC (POLY)NEUROPATHY
E1162,TYPE 2 DIABETES MELLITUS WITH SKIN COMPLICATIONS
E1361,OTHER SPECIFIED DIABETES MELLITUS WITH DIABETIC ARTHROPATHY
E15,NONDIABETIC HYPOGLYCEMIC COMA
E160,DRUG-INDUCED HYPOGLYCEMIA WITHOUT COMA
E221,HYPERPROLACTINEMIA
E261,SECONDARY HYPERALDOSTERONISM
E269,"HYPERALDOSTERONISM, UNSPECIFIED"
E273,DRUG-INDUCED ADRENOCORTICAL INSUFFICIENCY
E288,OTHER OVARIAN DYSFUNCTION
E289,"OVARIAN DYSFUNCTION, UNSPECIFIED"
E290,TESTICULAR HYPERFUNCTION
E3451,COMPLETE ANDROGEN INSENSITIVITY SYNDROME
E41,NUTRITIONAL MARASMUS
E46,UNSPECIFIED PROTEIN-CALORIE MALNUTRITION
E55,VITAMIN D DEFICIENCY
E618,DEFICIENCY OF OTHER SPECIFIED NUTRIENT ELEMENTS
E671,HYPERCAROTENEMIA
E7210,"DISORDERS OF SULFUR-BEARING AMINO-ACID METABOLISM, UNSP"
E724,DISORDERS OF ORNITHINE METABOLISM
E7250,"DISORDER OF GLYCINE METABOLISM, UNSPECIFIED"
E7421,GALACTOSEMIA
E784,OTHER HYPERLIPIDEMIA
E801,PORPHYRIA CUTANEA TARDA
E804,GILBERT SYNDROME
E8310,"DISORDER OF IRON METABOLISM, UNSPECIFIED"
E8339,OTHER DISORDERS OF PHOSPHORUS METABOLISM
E8840,"MITOCHONDRIAL METABOLISM DISORDER, UNSPECIFIED"
E892,POSTPROCEDURAL HYPOPARATHYROIDISM
F02A3,"DEM IN OTHER DISEASES CLASSD ELSWHR, MILD, WITH MOOD DISTURB"
F02C0,"DEM IN OTHER DIS CLASSD ELSWHR, SEV, W/O BEH/PSYCH/MOOD/ANX"
F02C3,"DEM IN OTHER DIS CLASSD ELSWHR, SEVERE, WITH MOOD DISTURB"
F039,"UNSPECIFIED DEMENTIA, UNSPECIFIED SEVERITY"
F0390,"UNSP DEMENTIA, UNSP SEVERITY, WITHOUT BEH/PSYCH/MOOD/ANX"
F0392,"UNSP DEMENTIA, UNSPECIFIED SEVERITY, WITH PSYCHOTIC DISTURB"
F0393,"UNSP DEMENTIA, UNSPECIFIED SEVERITY, WITH MOOD DISTURB"
F0394,"UNSPECIFIED DEMENTIA, UNSPECIFIED SEVERITY, WITH ANXIETY"
F1010,"ALCOHOL ABUSE, UNCOMPLICATED"
F1014,ALCOHOL ABUSE WITH ALCOHOL-INDUCED MOOD DISORDER
F1020,"ALCOHOL DEPENDENCE, UNCOMPLICATED"
F1094,"ALCOHOL USE, UNSPECIFIED WITH ALCOHOL-INDUCED MOOD DISORDER"
F1125,OPIOID DEPENDENCE WITH OPIOID-INDUCED PSYCHOTIC DISORDER
F1290,"CANNABIS USE, UNSPECIFIED, UNCOMPLICATED"
F1310,"SEDATIVE, HYPNOTIC OR ANXIOLYTIC ABUSE, UNCOMPLICATED"
F1314,"SEDATIVE, HYPNOTIC OR ANXIOLYTIC ABUSE W MOOD DISORDER"
F1318,"SEDATIVE, HYPNOTIC OR ANXIOLYTIC ABUSE W OTH DISORDERS"
F1328,"SEDATIVE, HYPNOTIC OR ANXIOLYTIC DEPENDENCE W OTH DISORDERS"
F1415,COCAINE ABUSE WITH COCAINE-INDUCED PSYCHOTIC DISORDER
F1421,"COCAINE DEPENDENCE, IN REMISSION"
F1423,COCAINE DEPENDENCE WITH WITHDRAWAL
F1428,COCAINE DEPENDENCE WITH OTHER COCAINE-INDUCED DISORDER
F1593,"OTHER STIMULANT USE, UNSPECIFIED WITH WITHDRAWAL"
F1615,HALLUCINOGEN ABUSE W HALLUCINOGEN-INDUCED PSYCHOTIC DISORDER
F1721,"NICOTINE DEPENDENCE, CIGARETTES"
F1914,OTH PSYCHOACTIVE SUBSTANCE ABUSE W MOOD DISORDER
F1929,OTH PSYCHOACTIVE SUBSTANCE DEPENDENCE W UNSP DISORDER
F1999,"OTH PSYCHOACTIVE SUBSTANCE USE, UNSP W UNSP DISORDER"
F3012,"MANIC EPISODE WITHOUT PSYCHOTIC SYMPTOMS, MODERATE"
F3013,"MANIC EPISODE, SEVERE, WITHOUT PSYCHOTIC SYMPTOMS"
F3111,"BIPOLAR DISORD, CRNT EPISODE MANIC W/O PSYCH FEATURES, MILD"
F3173,"BIPOLAR DISORD, IN PARTIAL REMIS, MOST RECENT EPISODE MANIC"
F3174,"BIPOLAR DISORDER, IN FULL REMIS, MOST RECENT EPISODE MANIC"
F3177,"BIPOLAR DISORD, IN PARTIAL REMIS, MOST RECENT EPISODE MIXED"
F329,"MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, UNSPECIFIED"
F330,"MAJOR DEPRESSIVE DISORDER, RECURRENT, MILD"
F332,"MAJOR DEPRESSV DISORDER, RECURRENT SEVERE W/O PSYCH FEATURES"
F411,GENERALIZED ANXIETY DISORDER
F413,OTHER MIXED ANXIETY DISORDERS
F4311,"POST-TRAUMATIC STRESS DISORDER, ACUTE"
F4320,"ADJUSTMENT DISORDER, UNSPECIFIED"
F440,DISSOCIATIVE AMNESIA
F4489,OTHER DISSOCIATIVE AND CONVERSION DISORDERS
F449,"DISSOCIATIVE AND CONVERSION DISORDER, UNSPECIFIED"
F451,UNDIFFERENTIATED SOMATOFORM DISORDER
F5102,ADJUSTMENT INSOMNIA
F5232,MALE ORGASMIC DISORDER
F529,UNSP SEXUAL DYSFNCT NOT DUE TO A SUB OR KNOWN PHYSIOL COND
F53,"MENTAL AND BEHAVRL DISORDERS ASSOC WITH THE PUERPERIUM, NEC"
F59,UNSP BEHAVRL SYND ASSOC W PHYSIOL DISTURB AND PHYSCL FACTORS
F605,OBSESSIVE-COMPULSIVE PERSONALITY DISORDER
F6811,"FACTIT DISORD IMPOSED ON SELF, WITH PREDOM PSYCH SIGNS/SYMP"
F82,SPECIFIC DEVELOPMENTAL DISORDER OF MOTOR FUNCTION
F848,OTHER PERVASIVE DEVELOPMENTAL DISORDERS
F849,"PERVASIVE DEVELOPMENTAL DISORDER, UNSPECIFIED"
F89,UNSPECIFIED DISORDER OF PSYCHOLOGICAL DEVELOPMENT
F951,CHRONIC MOTOR OR VOCAL TIC DISORDER
F9829,OTHER FEEDING DISORDERS OF INFANCY AND EARLY CHILDHOOD
G10,HUNTINGTON'S DISEASE
G111,EARLY-ONSET CEREBELLAR ATAXIA
G1111,FRIEDREICH ATAXIA
G114,HEREDITARY SPASTIC PARAPLEGIA
G118,OTHER HEREDITARY ATAXIAS
G2111,NEUROLEPTIC INDUCED PARKINSONISM
G239,"DEGENERATIVE DISEASE OF BASAL GANGLIA, UNSPECIFIED"
G2409,OTHER DRUG INDUCED DYSTONIA
G254,DRUG-INDUCED CHOREA
G2581,RESTLESS LEGS SYNDROME
G26,EXTRAPYRAMIDAL AND MOVEMENT DISORD IN DISEASES CLASSD ELSWHR
G300,ALZHEIMER'S DISEASE WITH EARLY ONSET
G3109,OTHER FRONTOTEMPORAL NEUROCOGNITIVE DISORDER
G360,NEUROMYELITIS OPTICA [DEVIC]
G372,CENTRAL PONTINE MYELINOLYSIS
G4011,"LOCAL-REL (FOCAL) SYMPTC EPI W SIMPLE PARTIAL SEIZ, NTRCT"
G4311,"MIGRAINE WITH AURA, INTRACTABLE"
G4350,"PERSISTENT MIGRAINE AURA W/O CEREBRAL INFARCTION, NOT NTRCT"
G4351,"PERSISTENT MIGRAINE AURA W/O CEREBRAL INFARCTION, NTRCT"
G4390,"MIGRAINE, UNSPECIFIED, NOT INTRACTABLE"
G4391,"MIGRAINE, UNSPECIFIED, INTRACTABLE"
G4489,OTHER HEADACHE SYNDROME
G452,MULTIPLE AND BILATERAL PRECEREBRAL ARTERY SYNDROMES
G4729,OTHER CIRCADIAN RHYTHM SLEEP DISORDER
G4742,NARCOLEPSY IN CONDITIONS CLASSIFIED ELSEWHERE
G500,TRIGEMINAL NEURALGIA
G540,BRACHIAL PLEXUS DISORDERS
G5642,CAUSALGIA OF LEFT UPPER LIMB
G5713,"MERALGIA PARESTHETICA, BILATERAL LOWER LIMBS"
G5733,"LESION OF LATERAL POPLITEAL NERVE, BILATERAL LOWER LIMBS"
G5761,"LESION OF PLANTAR NERVE, RIGHT LOWER LIMB"
G5773,CAUSALGIA OF BILATERAL LOWER LIMBS
G5792,UNSPECIFIED MONONEUROPATHY OF LEFT LOWER LIMB
G5793,UNSPECIFIED MONONEUROPATHY OF BILATERAL LOWER LIMBS
G6281,CRITICAL ILLNESS POLYNEUROPATHY
G7089,OTHER SPECIFIED MYONEURAL DISORDERS
G713,"MITOCHONDRIAL MYOPATHY, NOT ELSEWHERE CLASSIFIED"
G7241,INCLUSION BODY MYOSITIS [IBM]
G809,"CEREBRAL PALSY, UNSPECIFIED"
G8110,SPASTIC HEMIPLEGIA AFFECTING UNSPECIFIED SIDE
G8111,SPASTIC HEMIPLEGIA AFFECTING RIGHT DOMINANT SIDE
G8112,SPASTIC HEMIPLEGIA AFFECTING LEFT DOMINANT SIDE
G8193,"HEMIPLEGIA, UNSPECIFIED AFFECTING RIGHT NONDOMINANT SIDE"
G8382,ANTERIOR CORD SYNDROME
G892,"CHRONIC PAIN, NOT ELSEWHERE CLASSIFIED"
G9001,CAROTID SINUS SYNCOPE
G9051,COMPLEX REGIONAL PAIN SYNDROME I OF UPPER LIMB
G9349,OTHER ENCEPHALOPATHY
G9389,OTHER SPECIFIED DISORDERS OF BRAIN
G9519,OTHER VASCULAR MYELOPATHIES
G970,CEREBROSPINAL FLUID LEAK FROM SPINAL PUNCTURE
H0241,MECHANICAL PTOSIS OF EYELID
H0242,MYOGENIC PTOSIS OF EYELID
H0266,"XANTHELASMA OF LEFT EYE, UNSPECIFIED EYELID"
H0432,ACUTE DACRYOCYSTITIS
H0451,DACRYOLITH
H0455,ACQUIRED STENOSIS OF NASOLACRIMAL DUCT
H0500,UNSPECIFIED ACUTE INFLAMMATION OF ORBIT
H0582,MYOPATHY OF EXTRAOCULAR MUSCLES
H1010,"ACUTE ATOPIC CONJUNCTIVITIS, UNSPECIFIED EYE"
H1115,PINGUECULA
H1601,CENTRAL CORNEAL ULCER
H1614,PUNCTATE KERATITIS
H1621,EXPOSURE KERATOCONJUNCTIVITIS
H168,OTHER KERATITIS
H1782,PERIPHERAL OPACITY OF CORNEA
H1861,"KERATOCONUS, STABLE"
H2101,"HYPHEMA, RIGHT EYE"
H2127,MIOTIC PUPILLARY CYST
H2181,FLOPPY IRIS SYNDROME
H2182,PLATEAU IRIS SYNDROME (POST-IRIDECTOMY) (POSTPROCEDURAL)
H2503,ANTERIOR SUBCAPSULAR POLAR AGE-RELATED CATARACT
H2510,"AGE-RELATED NUCLEAR CATARACT, UNSPECIFIED EYE"
H2523,"AGE-RELATED CATARACT, MORGAGNIAN TYPE, BILATERAL"
H3091,"UNSPECIFIED CHORIORETINAL INFLAMMATION, RIGHT EYE"
H3093,"UNSPECIFIED CHORIORETINAL INFLAMMATION, BILATERAL"
H3342,"TRACTION DETACHMENT OF RETINA, LEFT EYE"
H3481,CENTRAL RETINAL VEIN OCCLUSION
H3483,TRIBUTARY (BRANCH) RETINAL VEIN OCCLUSION
H3589,OTHER SPECIFIED RETINAL DISORDERS
H4006,PRIMARY ANGLE CLOSURE WITHOUT GLAUCOMA DAMAGE
H4010,UNSPECIFIED OPEN-ANGLE GLAUCOMA
H4013,PIGMENTARY GLAUCOMA
H4051,"GLAUCOMA SECONDARY TO OTHER EYE DISORDERS, RIGHT EYE"
H4089,OTHER SPECIFIED GLAUCOMA
H4321,"CRYSTALLINE DEPOSITS IN VITREOUS BODY, RIGHT EYE"
H439,UNSPECIFIED DISORDER OF VITREOUS BODY
H4402,VITREOUS ABSCESS (CHRONIC)
H4442,HYPOTONY OF EYE DUE TO OCULAR FISTULA
H4602,"OPTIC PAPILLITIS, LEFT EYE"
H462,NUTRITIONAL OPTIC NEUROPATHY
H4711,PAPILLEDEMA ASSOCIATED WITH INCREASED INTRACRANIAL PRESSURE
H4731,COLOBOMA OF OPTIC DISC
H479,UNSPECIFIED DISORDER OF VISUAL PATHWAYS
H4911,"FOURTH [TROCHLEAR] NERVE PALSY, RIGHT EYE"
H499,UNSPECIFIED PARALYTIC STRABISMUS
H5030,UNSPECIFIED INTERMITTENT HETEROTROPIA
H5040,UNSPECIFIED HETEROTROPIA
H5200,"HYPERMETROPIA, UNSPECIFIED EYE"
H5203,"HYPERMETROPIA, BILATERAL"
H5311,DAY BLINDNESS
H5319,OTHER SUBJECTIVE VISUAL DISTURBANCES
H5362,ACQUIRED NIGHT BLINDNESS
H5501,CONGENITAL NYSTAGMUS
H5704,MYDRIASIS
H5710,"OCULAR PAIN, UNSPECIFIED EYE"
H578,OTHER SPECIFIED DISORDERS OF EYE AND ADNEXA
H5902,CATARACT (LENS) FRAGMENTS IN EYE FOLLOWING CATARACT SURGERY
H6023,"MALIGNANT OTITIS EXTERNA, BILATERAL"
H6055,ACUTE REACTIVE OTITIS EXTERNA
H6092,"UNSPECIFIED OTITIS EXTERNA, LEFT EAR"
H6112,HEMATOMA OF PINNA
H6242,"OTITIS EXTERNA IN OTH DISEASES CLASSD ELSWHR, LEFT EAR"
H6591,"UNSPECIFIED NONSUPPURATIVE OTITIS MEDIA, RIGHT EAR"
H6623,"CHRONIC ATTICOANTRAL SUPPURATIVE OTITIS MEDIA, BILATERAL"
H6643,"SUPPURATIVE OTITIS MEDIA, UNSPECIFIED, BILATERAL"
H6900,"PATULOUS EUSTACHIAN TUBE, UNSPECIFIED EAR"
H6990,"UNSPECIFIED EUSTACHIAN TUBE DISORDER, UNSPECIFIED EAR"
H7092,"UNSPECIFIED MASTOIDITIS, LEFT EAR"
H722X,OTHER MARGINAL PERFORATIONS OF TYMPANIC MEMBRANE
H7409,"TYMPANOSCLEROSIS, UNSPECIFIED EAR"
H7422,DISCONTINUITY AND DISLOCATION OF LEFT EAR OSSICLES
H8091,"UNSPECIFIED OTOSCLEROSIS, RIGHT EAR"
H9011,"CONDCTV HEAR LOSS, UNI, RIGHT EAR, W UNRESTR HEAR CNTRA SIDE"
H902,"CONDUCTIVE HEARING LOSS, UNSPECIFIED"
H9042,"SNSRNRL HEAR LOSS, UNI, LEFT EAR, W UNRESTR HEAR CNTRA SIDE"
H908,"MIXED CONDUCTIVE AND SENSORINEURAL HEARING LOSS, UNSPECIFIED"
H90A2,"SNSRNRL HEAR LOSS, UNI, WITH RESTRICTED HEAR CNTRA SIDE"
H9101,"OTOTOXIC HEARING LOSS, RIGHT EAR"
H9122,"SUDDEN IDIOPATHIC HEARING LOSS, LEFT EAR"
H933X,DISORDERS OF ACOUSTIC NERVE
H9390,"UNSPECIFIED DISORDER OF EAR, UNSPECIFIED EAR"
H9391,UNSPECIFIED DISORDER OF RIGHT EAR
I059,"RHEUMATIC MITRAL VALVE DISEASE, UNSPECIFIED"
I0981,RHEUMATIC HEART FAILURE
I110,HYPERTENSIVE HEART DISEASE WITH HEART FAILURE
I152,HYPERTENSION SECONDARY TO ENDOCRINE DISORDERS
I161,HYPERTENSIVE EMERGENCY
I2119,STEMI INVOLVING OTH CORONARY ARTERY OF INFERIOR WALL
I2121,STEMI INVOLVING LEFT CIRCUMFLEX CORONARY ARTERY
I251,ATHEROSCLEROTIC HEART DISEASE OF NATIVE CORONARY ARTERY
I309,"ACUTE PERICARDITIS, UNSPECIFIED"
I349,"NONRHEUMATIC MITRAL VALVE DISORDER, UNSPECIFIED"
I352,NONRHEUMATIC AORTIC (VALVE) STENOSIS WITH INSUFFICIENCY
I360,NONRHEUMATIC TRICUSPID (VALVE) STENOSIS
I362,NONRHEUMATIC TRICUSPID (VALVE) STENOSIS WITH INSUFFICIENCY
I368,OTHER NONRHEUMATIC TRICUSPID VALVE DISORDERS
I4519,OTHER RIGHT BUNDLE-BRANCH BLOCK
I482,CHRONIC ATRIAL FIBRILLATION
I484,ATYPICAL ATRIAL FLUTTER
I4891,UNSPECIFIED ATRIAL FIBRILLATION
I4940,UNSPECIFIED PREMATURE DEPOLARIZATION
I5021,ACUTE SYSTOLIC (CONGESTIVE) HEART FAILURE
I5041,ACUTE COMBINED SYSTOLIC AND DIASTOLIC (CONGESTIVE) HRT FAIL
I5181,TAKOTSUBO SYNDROME
I5189,OTHER ILL-DEFINED HEART DISEASES
I619,"NONTRAUMATIC INTRACEREBRAL HEMORRHAGE, UNSPECIFIED"
I6341,CEREBRAL INFRC DUE TO EMBOLISM OF MIDDLE CEREBRAL ARTERY
I6381,OTHER CEREB INFRC DUE TO OCCLS OR STENOSIS OF SMALL ARTERY
I639,"CEREBRAL INFARCTION, UNSPECIFIED"
I6529,OCCLUSION AND STENOSIS OF UNSPECIFIED CAROTID ARTERY
I658,OCCLUSION AND STENOSIS OF OTHER PRECEREBRAL ARTERIES
I673,PROGRESSIVE VASCULAR LEUKOENCEPHALOPATHY
I674,HYPERTENSIVE ENCEPHALOPATHY
I688,OTH CEREBROVASCULAR DISORDERS IN DISEASES CLASSD ELSWHR
I6920,UNSP SEQUELAE OF OTHER NONTRAUMATIC INTRACRANIAL HEMORRHAGE
I6922,SPEECH/LANG DEFICITS FOLLOWING OTH NTRM INTCRN HEMORRHAGE
I6925,HEMIPLGA FOLLOWING OTH NONTRAUMATIC INTRACRANIAL HEMORRHAGE
I7026,ATHEROSCLEROSIS OF NATIVE ARTERIES OF EXTREMITIES W GANGRENE
I7040,UNSP ATHSCL AUTOLOGOUS VEIN BYPASS OF THE EXTREMITIES
I712,"THORACIC AORTIC ANEURYSM, WITHOUT RUPTURE"
I7141,"PARARENAL ABDOMINAL AORTIC ANEURYSM, WITHOUT RUPTURE"
I743,EMBOLISM AND THROMBOSIS OF ARTERIES OF THE LOWER EXTREMITIES
I771,STRICTURE OF ARTERY
I7773,DISSECTION OF RENAL ARTERY
I7777,DISSECTION OF ARTERY OF LOWER EXTREMITY
I788,OTHER DISEASES OF CAPILLARIES
I790,ANEURYSM OF AORTA IN DISEASES CLASSIFIED ELSEWHERE
I791,AORTITIS IN DISEASES CLASSIFIED ELSEWHERE
I8260,ACUTE EMBOLISM AND THOMBOS UNSP VEINS OF UPPER EXTREMITY
I8510,SECONDARY ESOPHAGEAL VARICES WITHOUT BLEEDING
I861,SCROTAL VARICES
I868,VARICOSE VEINS OF OTHER SPECIFIED SITES
I8730,CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) W/O COMPLICATIONS
I878,OTHER SPECIFIED DISORDERS OF VEINS
I950,IDIOPATHIC HYPOTENSION
I9581,POSTPROCEDURAL HYPOTENSION
I96,"GANGRENE, NOT ELSEWHERE CLASSIFIED"
I970,POSTCARDIOTOMY SYNDROME
I9771,INTRAOPERATIVE CARDIAC ARREST
I999,UNSPECIFIED DISORDER OF CIRCULATORY SYSTEM
J1108,FLU DUE TO UNIDENTIFIED FLU VIRUS W SPECIFIED PNEUMONIA
J153,"PNEUMONIA DUE TO STREPTOCOCCUS, GROUP B"
J3089,OTHER ALLERGIC RHINITIS
J321,CHRONIC FRONTAL SINUSITIS
J390,RETROPHARYNGEAL AND PARAPHARYNGEAL ABSCESS
J471,BRONCHIECTASIS WITH (ACUTE) EXACERBATION
J61,PNEUMOCONIOSIS DUE TO ASBESTOS AND OTHER MINERAL FIBERS
J678,HYPERSENSITIVITY PNEUMONITIS DUE TO OTHER ORGANIC DUSTS
J681,"PULMONARY EDEMA DUE TO CHEMICALS, GASES, FUMES AND VAPORS"
J704,"DRUG-INDUCED INTERSTITIAL LUNG DISORDERS, UNSPECIFIED"
J811,CHRONIC PULMONARY EDEMA
J8481,LYMPHANGIOLEIOMYOMATOSIS
J918,PLEURAL EFFUSION IN OTHER CONDITIONS CLASSIFIED ELSEWHERE
J9502,INFECTION OF TRACHEOSTOMY STOMA
J9600,"ACUTE RESPIRATORY FAILURE, UNSP W HYPOXIA OR HYPERCAPNIA"
J9622,ACUTE AND CHRONIC RESPIRATORY FAILURE WITH HYPERCAPNIA
J9690,"RESPIRATORY FAILURE, UNSP, UNSP W HYPOXIA OR HYPERCAPNIA"
J9811,ATELECTASIS
J986,DISORDERS OF DIAPHRAGM
J989,"RESPIRATORY DISORDER, UNSPECIFIED"
K000,ANODONTIA
K031,ABRASION OF TEETH
K0389,OTHER SPECIFIED DISEASES OF HARD TISSUES OF TEETH
K0499,OTHER DISEASES OF PULP AND PERIAPICAL TISSUES
K0850,"UNSATISFACTORY RESTORATION OF TOOTH, UNSPECIFIED"
K0853,FRACTURED DENTAL RESTORATIVE MATERIAL
K2080,OTHER ESOPHAGITIS WITHOUT BLEEDING
K2210,ULCER OF ESOPHAGUS WITHOUT BLEEDING
K253,ACUTE GASTRIC ULCER WITHOUT HEMORRHAGE OR PERFORATION
K284,CHRONIC OR UNSPECIFIED GASTROJEJUNAL ULCER WITH HEMORRHAGE
K2901,ACUTE GASTRITIS WITH BLEEDING
K2951,UNSPECIFIED CHRONIC GASTRITIS WITH BLEEDING
K2991,"GASTRODUODENITIS, UNSPECIFIED, WITH BLEEDING"
K3521,"ACUTE APPENDICITIS WITH GEN PERITONITIS, WITH ABSCESS"
K353,ACUTE APPENDICITIS WITH LOCALIZED PERITONITIS
K380,HYPERPLASIA OF APPENDIX
K431,INCISIONAL HERNIA WITH GANGRENE
K5000,CROHN'S DISEASE OF SMALL INTESTINE WITHOUT COMPLICATIONS
K5501,ACUTE (REVERSIBLE) ISCHEMIA OF SMALL INTESTINE
K5502,ACUTE INFARCTION OF SMALL INTESTINE
K5521,ANGIODYSPLASIA OF COLON WITH HEMORRHAGE
K5720,DVTRCLI OF LG INT W PERFORATION AND ABSCESS W/O BLEEDING
K5721,DVTRCLI OF LG INT W PERFORATION AND ABSCESS W BLEEDING
K5751,DVRTCLOS OF BOTH SMALL AND LG INT W/O PERF OR ABSCS W BLEED
K599,"FUNCTIONAL INTESTINAL DISORDER, UNSPECIFIED"
K610,ANAL ABSCESS
K622,ANAL PROLAPSE
K630,ABSCESS OF INTESTINE
K631,PERFORATION OF INTESTINE (NONTRAUMATIC)
K652,SPONTANEOUS BACTERIAL PERITONITIS
K6812,PSOAS MUSCLE ABSCESS
K7031,ALCOHOLIC CIRRHOSIS OF LIVER WITH ASCITES
K7211,CHRONIC HEPATIC FAILURE WITH COMA
K765,HEPATIC VENO-OCCLUSIVE DISEASE
K8050,CALCULUS OF BILE DUCT W/O CHOLANGITIS OR CHOLECYST W/O OBST
K8063,CALCULUS OF GB AND BILE DUCT W ACUTE CHOLECYST W OBSTRUCTION
K822,PERFORATION OF GALLBLADDER
K8511,BILIARY ACUTE PANCREATITIS WITH UNINFECTED NECROSIS
K910,VOMITING FOLLOWING GASTROINTESTINAL SURGERY
K915,POSTCHOLECYSTECTOMY SYNDROME
K9187,POSTPROC HEMATOMA AND SEROMA OF A DGSTV SYS ORG FOL A PROC
K920,HEMATEMESIS
K9403,COLOSTOMY MALFUNCTION
K9419,OTHER COMPLICATIONS OF ENTEROSTOMY
K9423,GASTROSTOMY MALFUNCTION
L0103,BULLOUS IMPETIGO
L0282,FURUNCLE OF OTHER SITES
L0283,CARBUNCLE OF OTHER SITES
L040,"ACUTE LYMPHADENITIS OF FACE, HEAD AND NECK"
L049,"ACUTE LYMPHADENITIS, UNSPECIFIED"
L138,OTHER SPECIFIED BULLOUS DISORDERS
